title,label,summary
Population-Based Reinforcement Learning for Combinatorial Optimization,0,Applying reinforcement learning (RL) to combinatorial optimization problems is attractive as it removes the need for expert knowledge or pre-solved instances. However it is unrealistic to expect an agent to solve these (often NP-)hard problems in a single shot at inference due to their inherent complexity. Thus leading approaches often implement additional search strategies from stochastic sampling and beam-search to explicit fine-tuning. In this paper we argue for the benefits of learning a population of complementary policies which can be simultaneously rolled out at inference. To this end we introduce Poppy a simple theoretically grounded training procedure for populations. Instead
On Explainability in AI-Solutions: A Cross-Domain Survey,0,Artificial Intelligence (AI) increasingly shows its potential to outperform predicate logic algorithms and human control alike. In automatically deriving a system model AI algorithms learn relations in data that are not detectable for humans. This great strength however also makes use of AI methods dubious. The more complex a model the more difficult it is for a human to understand the reasoning for the decisions. As currently fully automated AI algorithms are sparse every algorithm has to provide a reasoning for human operators. For data engineers metrics such as accuracy and sensitivity are sufficient. However if models are interacting with
Fault Diagnosis using eXplainable AI: a Transfer Learning-based Approach for Rotating Machinery exploiting Augmented Synthetic Data,0,Artificial Intelligence (AI) is one of the approaches that has been proposed to analyze the collected data (e.g. vibration signals) providing a diagnosis of the asset's operating condition. It is known that models trained with labeled data (supervised) achieve excellent results but two main problems make their application in production processes difficult: (i) impossibility or long time to obtain a sample of all operational conditions (since faults seldom happen) and (ii) high cost of experts to label all acquired data. Another limitating factor for the applicability of AI approaches in this context is the lack of interpretability of the models
Semantics-based Privacy by Design for Internet of Things Applications,2,As Internet of Things (IoT) technologies become more widespread in everyday life privacy issues are becoming more prominent. The aim of this research is to develop a personal assistant that can answer software engineers' questions about Privacy by Design (PbD) practices during the design phase of IoT system development. Semantic web technologies are used to model the knowledge underlying PbD measurements their intersections with privacy patterns IoT system requirements and the privacy patterns that should be applied across IoT systems. This is achieved through the development of the PARROT ontology developed through a set of representative IoT use cases relevant
A Causal Analysis of Harm,0,"As autonomous systems rapidly become ubiquitous there is a growing need for a legal and regulatory framework to address when and how such a system harms someone. There have been several attempts within the philosophy literature to define harm but none of them has proven capable of dealing with with the many examples that have been presented leading some to suggest that the notion of harm should be abandoned and ""replaced by more well-behaved notions"". As harm is generally something that is caused most of these definitions have involved causality at some level. Yet surprisingly none of them makes use"
Planning Assembly Sequence with Graph Transformer,0,Assembly sequence planning (ASP) is the essential process for modern manufacturing proven to be NP-complete thus its effective and efficient solution has been a challenge for researchers in the field. In this paper we present a graph-transformer based framework for the ASP problem which is trained and demonstrated on a self-collected ASP database. The ASP database contains a self-collected set of LEGO models. The LEGO model is abstracted to a heterogeneous graph structure after a thorough analysis of the original structure and feature extraction. The ground truth assembly sequence is first generated by brute-force search and then adjusted manually to
Understanding the Failure of Batch Normalization for Transformers in NLP,3,Batch Normalization (BN) is a core and prevalent technique in accelerating the training of deep neural networks and improving the generalization on Computer Vision (CV) tasks. However it fails to defend its position in Natural Language Processing (NLP) which is dominated by Layer Normalization (LN). In this paper we are trying to answer why BN usually performs worse than LN in NLP tasks with Transformer models. We find that the inconsistency between training and inference of BN is the leading cause that results in the failure of BN in NLP. We define Training Inference Discrepancy (TID) to quantitatively measure this
Learned k-NN Distance Estimation,1,Big data mining is well known to be an important task for data science because it can provide useful observations and new knowledge hidden in given large datasets. Proximity-based data analysis is particularly utilized in many real-life applications. In such analysis the distances to k nearest neighbors are usually employed thus its main bottleneck is derived from data retrieval. Much efforts have been made to improve the efficiency of these analyses. However they still incur large costs because they essentially need many data accesses. To avoid this issue we propose a machine-learning technique that quickly and accurately estimates the k-NN
Fine-Grained Modeling and Optimization for Intelligent Resource Management in Big Data Processing,1,Big data processing at the production scale presents a highly complex environment for resource optimization (RO) a problem crucial for meeting performance goals and budgetary constraints of analytical users. The RO problem is challenging because it involves a set of decisions (the partition count placement of parallel instances on machines and resource allocation to each instance) requires multi-objective optimization (MOO) and is compounded by the scale and complexity of big data systems while having to meet stringent time constraints for scheduling. This paper presents a MaxCompute-based integrated system to support multi-objective resource optimization via fine-grained instance-level modeling and optimization. We
COVID-19-related Nepali Tweets Classification in a Low Resource Setting,3,Billions of people across the globe have been using social media platforms in their local languages to voice their opinions about the various topics related to the COVID-19 pandemic. Several organizations including the World Health Organization have developed automated social media analysis tools that classify COVID-19-related tweets into various topics. However these tools that help combat the pandemic are limited to very few languages making several countries unable to take their benefit. While multi-lingual or low-resource language-specific tools are being developed they still need to expand their coverage such as for the Nepali language. In this paper we identify the
Enriching Biomedical Knowledge for Low-resource Language Through Translation,3,Biomedical data and benchmarks are highly valuable yet very limited in low-resource languages other than English such as Vietnamese. In this paper we make use of a state-of-the-art translation model in English-Vietnamese to translate and produce both pretrained as well as supervised data in the biomedical domains. Thanks to such large-scale translation we introduce ViPubmedT5 a pretrained Encoder-Decoder Transformer model trained on 20 million translated abstracts from the high-quality public PubMed corpus. ViPubMedT5 demonstrates state-of-the-art results on two different biomedical benchmarks in summarization and acronym disambiguation. Further we release ViMedNLI - a new NLP task in Vietnamese translated from MedNLI
Building an Ethereum-Based Decentralized Vehicle Rental System,2,Blockchain technology beyond cryptocurrencies is called to be the new information exchange ecosystem due to its unique properties such as immutability and transparency. The main objective of this work is to introduce the design of a decentralized rental system which leverages smart contracts and the Ethereum public blockchain. The work started from an exhaustive investigation on the Ethereum platform emphasizing the aspect of cryptography and all the technology behind this platform. In order to test the proposed scheme in a realistic use the implementation of a web application for the rental of vehicles has been carried out. The application covers
zkBridge: Trustless Cross-chain Bridges Made Practical,2,Blockchains have seen growing traction with cryptocurrencies reaching a market cap of over 1 trillion dollars major institution investors taking interests and global impacts on governments businesses and individuals. Also growing significantly is the heterogeneity of the ecosystem where a variety of blockchains co-exist. Cross-chain bridge is a necessary building block in this multi-chain ecosystem. Existing solutions however either suffer from performance issues or rely on trust assumptions of committees that significantly lower the security. Recurring attacks against bridges have cost users more than 1.5 billion USD. In this paper we introduce zkBridge an efficient cross-chain bridge that guarantees strong
Checks and Strategies for Enabling Code-Switched Machine Translation,3,Code-switching is a common phenomenon among multilingual speakers where alternation between two or more languages occurs within the context of a single conversation. While multilingual humans can seamlessly switch back and forth between languages multilingual neural machine translation (NMT) models are not robust to such sudden changes in input. This work explores multilingual NMT models' ability to handle code-switched text. First we propose checks to measure switching capability. Second we investigate simple and effective data augmentation methods that can enhance an NMT model's ability to support code-switching. Finally by using a glass-box analysis of attention modules we demonstrate the effectiveness
See Plan Predict: Language-guided Cognitive Planning with Video Prediction,0,Cognitive planning is the structural decomposition of complex tasks into a sequence of future behaviors. In the computational setting performing cognitive planning entails grounding plans and concepts in one or more modalities in order to leverage them for low level control. Since real-world tasks are often described in natural language we devise a cognitive planning algorithm via language-guided video prediction. Current video prediction models do not support conditioning on natural language instructions. Therefore we propose a new video prediction architecture which leverages the power of pre-trained transformers.The network is endowed with the ability to ground concepts based on natural language
Ontologizing Health Systems Data at Scale: Making Translational Discovery a Reality,1,Common data models solve many challenges of standardizing electronic health record (EHR) data but are unable to semantically integrate the resources needed for deep phenotyping. Open Biological and Biomedical Ontology (OBO) Foundry ontologies provide semantically computable representations of biological knowledge and enable the integration of a variety of biomedical data. However mapping EHR data to OBO Foundry ontologies requires significant manual curation and domain expertise. We introduce a framework for mapping Observational Medical Outcomes Partnership (OMOP) standard vocabularies to OBO Foundry ontologies. Using this framework we produced mappings for 92367 conditions 8615 drug ingredients and 10673 measurement results. Mapping accuracy
Duplicate Detection as a Service,1,Completeness of a knowledge graph is an important quality dimension and factor on how well an application that makes use of it performs. Completeness can be improved by performing knowledge enrichment. Duplicate detection aims to find identity links between the instances of knowledge graphs and is a fundamental subtask of knowledge enrichment. Current solutions to the problem require expert knowledge of the tool and the knowledge graph they are applied to. Users might not have this expert knowledge. We present our service-based approach to the duplicate detection task that provides an easy-to-use no-code solution that is still competitive with the
CTC Alignments Improve Autoregressive Translation,3,Connectionist Temporal Classification (CTC) is a widely used approach for automatic speech recognition (ASR) that performs conditionally independent monotonic alignment. However for translation CTC exhibits clear limitations due to the contextual and non-monotonic nature of the task and thus lags behind attentional decoder approaches in terms of translation quality. In this work we argue that CTC does in fact make sense for translation if applied in a joint CTC/attention framework wherein CTC's core properties can counteract several key weaknesses of pure-attention models during training and decoding. To validate this conjecture we modify the Hybrid CTC/Attention model originally proposed for ASR
Privacy-Preserving Link Prediction,2,Consider two data holders ABC and XYZ with graph data (e.g. social networks e-commerce telecommunication and bio-informatics). ABC can see that node A is linked to node B and XYZ can see node B is linked to node C. Node B is the common neighbour of A and C but neither network can discover this fact on their own. In this paper we provide a two party computation that ABC and XYZ can run to discover the common neighbours in the union of their graph data however neither party has to reveal their plaintext graph to the other. Based on
An efficient heuristic approach combining maximal itemsets and area measure for compressing voluminous table constraints,1,Constraint Programming is a powerful paradigm to model and solve combinatorial problems. While there are many kinds of constraints the table constraint is perhaps the most significant-being the most well-studied and has the ability to encode any other constraints defined on finite variables. However constraints can be very voluminous and their size can grow exponentially with their arity. To reduce space and the time complexity researchers have focused on various forms of compression. In this paper we propose a new approach based on maximal frequent itemsets technique and area measure for enumerating the maximal frequent itemsets relevant for compressing table
SQL and NoSQL Databases Software architectures performance analysis and assessments -- A Systematic Literature review,1,Context: The efficient processing of Big Data is a challenging task for SQL and NoSQL Databases where competent software architecture plays a vital role. The SQL Databases are designed for structuring data and supporting vertical scalability. In contrast horizontal scalability is backed by NoSQL Databases and can process sizeable unstructured Data efficiently. One can choose the right paradigm according to the organisation's needs; however making the correct choice can often be challenging. The SQL and NoSQL Databases follow different architectures. Also the mixed model is followed by each category of NoSQL Databases. Hence data movement becomes difficult for cloud consumers
Contrast Pattern Mining: A Survey,1,Contrast pattern mining (CPM) is an important and popular subfield of data mining. Traditional sequential patterns cannot describe the contrast information between different classes of data while contrast patterns involving the concept of contrast can describe the significant differences between datasets under different contrast conditions. Based on the number of papers published in this field we find that researchers' interest in CPM is still active. Since CPM has many research questions and research methods. It is difficult for new researchers in the field to understand the general situation of the field in a short period of time. Therefore the purpose
"CQE in OWL 2 QL: A ""Longest Honeymoon"" Approach (extended version)",1,Controlled Query Evaluation (CQE) has been recently studied in the context of Semantic Web ontologies. The goal of CQE is concealing some query answers so as to prevent external users from inferring confidential information. In general there exist multiple mutually incomparable ways of concealing answers and previous CQE approaches choose in advance which answers are visible and which are not. In this paper instead we study a dynamic CQE method namely we propose to alter the answer to the current query based on the evaluation of previous ones. We aim at a system that besides being able to protect confidential
Printing variability of copy detection patterns,2,Copy detection pattern (CDP) is a novel solution for products' protection against counterfeiting which gains its popularity in recent years. CDP attracts the anti-counterfeiting industry due to its numerous benefits in comparison to alternative protection techniques. Besides its attractiveness there is an essential gap in the fundamental analysis of CDP authentication performance in large-scale industrial applications. It concerns variability of CDP parameters under different production conditions that include a type of printer substrate printing resolution etc. Since digital off-set printing represents great flexibility in terms of product personalized in comparison with traditional off-set printing it looks very interesting to address
Dimensional Data KNN-Based Imputation,1,Data Warehouses (DWs) are core components of Business Intelligence (BI). Missing data in DWs have a great impact on data analyses. Therefore missing data need to be completed. Unlike other existing data imputation methods mainly adapted for facts we propose a new imputation method for dimensions. This method contains two steps: 1) a hierarchical imputation and 2) a k-nearest neighbors (KNN) based imputation. Our solution has the advantage of taking into account the DW structure and dependency constraints. Experimental assessments validate our method in terms of effectiveness and efficiency.
Hiding Images in Deep Probabilistic Models,2,Data hiding with deep neural networks (DNNs) has experienced impressive successes in recent years. A prevailing scheme is to train an autoencoder consisting of an encoding network to embed (or transform) secret messages in (or into) a carrier and a decoding network to extract the hidden messages. This scheme may suffer from several limitations regarding practicability security and embedding capacity. In this work we describe a different computational framework to hide images in deep probabilistic models. Specifically we use a DNN to model the probability density of cover images and hide a secret image in one particular location of the
Movement Analytics: Current Status Application to Manufacturing and Future Prospects from an AI Perspective,0,Data-driven decision making is becoming an integral part of manufacturing companies. Data is collected and commonly used to improve efficiency and produce high quality items for the customers. IoT-based and other forms of object tracking are an emerging tool for collecting movement data of objects/entities (e.g. human workers moving vehicles trolleys etc.) over space and time. Movement data can provide valuable insights like process bottlenecks resource utilization effective working time etc. that can be used for decision making and improving efficiency. Turning movement data into valuable information for industrial management and decision making requires analysis methods. We refer to this
Seminaive Materialisation in DatalogMTL,1,DatalogMTL is an extension of Datalog with metric temporal operators that has found applications in temporal ontology-based data access and query answering as well as in stream reasoning. Practical algorithms for DatalogMTL are reliant on materialisation-based reasoning where temporal facts are derived in a forward chaining manner in successive rounds of rule applications. Current materialisation-based procedures are however based on a naive evaluation strategy where the main source of inefficiency stems from redundant computations. In this paper we propose a materialisation-based procedure which analogously to the classical seminaive algorithm in Datalog aims at minimising redundant computation by ensuring that each
Preprocessors Matter! Realistic Decision-Based Attacks on Machine Learning Systems,2,Decision-based adversarial attacks construct inputs that fool a machine-learning model into making targeted mispredictions by making only hard-label queries. For the most part these attacks have been applied directly to isolated neural network models. However in practice machine learning models are just a component of a much larger system. By adding just a single preprocessor in front of a classifier we find that state-of-the-art query-based attacks are as much as seven times less effective at attacking a prediction pipeline than attacking the machine learning model alone. Hence attacks that are unaware of this invariance inevitably waste a large number of
Learning-Based Data Storage [Vision] (Technical Report),1,"Deep neural network (DNN) and its variants have been extensively used for a wide spectrum of real applications such as image classification face/speech recognition fraud detection and so on. In addition to many important machine learning tasks as artificial networks emulating the way brain cells function DNNs also show the capability of storing non-linear relationships between input and output data which exhibits the potential of storing data via DNNs. We envision a new paradigm of data storage ""DNN-as-a-Database"" where data are encoded in well-trained machine learning models. Compared with conventional data storage that directly records data in raw formats learning-based"
UnGANable: Defending Against GAN-based Face Manipulation,2,Deepfakes pose severe threats of visual misinformation to our society. One representative deepfake application is face manipulation that modifies a victim's facial attributes in an image e.g. changing her age or hair color. The state-of-the-art face manipulation techniques rely on Generative Adversarial Networks (GANs). In this paper we propose the first defense system namely UnGANable against GAN-inversion-based face manipulation. In specific UnGANable focuses on defending GAN inversion an essential step for face manipulation. Its core technique is to search for alternative images (called cloaked images) around the original images (called target images) in image space. When posted online these cloaked
Privacy-Patterns for IoT Application Developers,2,Designing Internet of things (IoT) applications (apps) is challenging due to the heterogeneous nature of the systems on which these apps are deployed. Personal data often classified as sensitive may be collected and analysed by IoT apps where data privacy laws are expected to protect such information. Various approaches already exist to support privacy-by-design (PbD) schemes enabling developers to take data privacy into account at the design phase of application development. However developers are not widely adopting these approaches because of understandability and interpretation challenges. A limited number of tools currently exist to assist developers in this context -- leading
A Win-win Deal: Towards Sparse and Robust Pre-trained Language Models,3,Despite the remarkable success of pre-trained language models (PLMs) they still face two challenges: First large-scale PLMs are inefficient in terms of memory footprint and computation. Second on the downstream tasks PLMs tend to rely on the dataset bias and struggle to generalize to out-of-distribution (OOD) data. In response to the efficiency problem recent studies show that dense PLMs can be replaced with sparse subnetworks without hurting the performance. Such subnetworks can be found in three scenarios: 1) the fine-tuned PLMs 2) the raw PLMs and then fine-tuned in isolation and even inside 3) PLMs without any parameter fine-tuning. However
NeuDep: Neural Binary Memory Dependence Analysis,2,Determining whether multiple instructions can access the same memory location is a critical task in binary analysis. It is challenging as statically computing precise alias information is undecidable in theory. The problem aggravates at the binary level due to the presence of compiler optimizations and the absence of symbols and types. Existing approaches either produce significant spurious dependencies due to conservative analysis or scale poorly to complex binaries. We present a new machine-learning-based approach to predict memory dependencies by exploiting the model's learned knowledge about how binary programs execute. Our approach features (i) a self-supervised procedure that pretrains a neural
Social Influence Dialogue Systems: A Scoping Survey of the Efforts Towards Influence Capabilities of Dialogue Systems,3,Dialogue systems capable of social influence such as persuasion negotiation and therapy are essential for extending the use of technology to numerous realistic scenarios. However existing research primarily focuses on either task-oriented or open-domain scenarios a categorization that has been inadequate for capturing influence skills systematically. There exists no formal definition or category for dialogue systems with these skills and data-driven efforts in this direction are highly limited. In this work we formally define and introduce the category of \emph{social influence dialogue systems} that influence users' cognitive and emotional responses leading to changes in thoughts opinions and behaviors through natural
Instance Regularization for Discriminative Language Model Pre-training,3,Discriminative pre-trained language models (PrLMs) can be generalized as denoising auto-encoders that work with two procedures ennoising and denoising. First an ennoising process corrupts texts with arbitrary noising functions to construct training instances. Then a denoising language model is trained to restore the corrupted tokens. Existing studies have made progress by optimizing independent strategies of either ennoising or denosing. They treat training instances equally throughout the training process with little attention on the individual contribution of those instances. To model explicit signals of instance contribution this work proposes to estimate the complexity of restoring the original sentences from corrupted ones
OpenDSU: Digital Sovereignty in PharmaLedger,2,Distributed ledger networks chiefly those based on blockchain technologies currently are heralding a next generation of computer systems that aims to suit modern users' demands. Over the recent years several technologies for blockchains off-chaining strategies as well as decentralised and respectively self-sovereign identity systems have shot up so fast that standardisation of the protocols is lagging behind severely hampering the interoperability of different approaches. Moreover most of the currently available solutions for distributed ledgers focus on either home users or enterprise use case scenarios failing to provide integrative solutions addressing the needs of both. Herein we introduce the OpenDSU platform
Model Cascading: Towards Jointly Improving Efficiency and Accuracy of NLP Systems,3,Do all instances need inference through the big models for a correct prediction? Perhaps not; some instances are easy and can be answered correctly by even small capacity models. This provides opportunities for improving the computational efficiency of systems. In this work we present an explorative study on 'model cascading' a simple technique that utilizes a collection of models of varying capacities to accurately yet efficiently output predictions. Through comprehensive experiments in multiple task settings that differ in the number of models available for cascading (K value) we show that cascading improves both the computational efficiency and the prediction accuracy.
Dominance-based Rough Set Approach basic ideas and main trends,0,Dominance-based Rough Approach (DRSA) has been proposed as a machine learning and knowledge discovery methodology to handle Multiple Criteria Decision Aiding (MCDA). Due to its capacity of asking the decision maker (DM) for simple preference information and supplying easily understandable and explainable recommendations DRSA gained much interest during the years and it is now one of the most appreciated MCDA approaches. In fact it has been applied also beyond MCDA domain as a general knowledge discovery and data mining methodology for the analysis of monotonic (and also non-monotonic) data. In this contribution we recall the basic principles and the main
"ILX: Intelligent ""Location+X"" Data Systems (Vision Paper)",1,Due to the ubiquity of mobile phones and location-detection devices location data is being generated in very large volumes. Queries and operations that are performed on location data warrant the use of database systems. Despite that location data is being supported in data systems as an afterthought. Typically relational or NoSQL data systems that are mostly designed with non-location data in mind get extended with spatial or spatiotemporal indexes some query operators and higher level syntactic sugar in order to support location data. The ubiquity of location data and location data services call for systems that are solely designed and
Decompiling x86 Deep Neural Network Executables,2,Due to their widespread use on heterogeneous hardware devices deep learning (DL) models are compiled into executables by DL compilers to fully leverage low-level hardware primitives. This approach allows DL computations to be undertaken at low cost across a variety of computing platforms including CPUs GPUs and various hardware accelerators. We present BTD (Bin to DNN) a decompiler for deep neural network (DNN) executables. BTD takes DNN executables and outputs full model specifications including types of DNN operators network topology dimensions and parameters that are (nearly) identical to those of the input models. BTD delivers a practical framework to process
Natural Language Processing for Cognitive Analysis of Emotions,3,Emotion analysis in texts suffers from two major limitations: annotated gold-standard corpora are mostly small and homogeneous and emotion identification is often simplified as a sentence-level classification problem. To address these issues we introduce a new annotation scheme for exploring emotions and their causes along with a new French dataset composed of autobiographical accounts of an emotional scene. The texts were collected by applying the Cognitive Analysis of Emotions developed by A. Finkel to help people improve on their emotion management. The method requires the manual analysis of an emotional event by a coach trained in Cognitive Analysis. We present
Comparison of encrypted control approaches and tutorial on dynamic systems using LWE-based homomorphic encryption,2,Encrypted control has been introduced to protect controller data by encryption at the stage of computation and communication by performing the computation directly on encrypted data. In this article we first review and categorize recent relevant studies on encrypted control. Approaches based on homomorphic encryption multi-party computation and secret sharing are introduced compared and then discussed with respect to computational complexity communication load enabled operations security and research directions. We proceed to discuss a current challenge in the application of homomorphic encryption to dynamic systems where arithmetic operations other than integer addition and multiplication are limited. We also introduce a
ClusterEA: Scalable Entity Alignment with Stochastic Training and Normalized Mini-batch Similarities,1,Entity alignment (EA) aims at finding equivalent entities in different knowledge graphs (KGs). Embedding-based approaches have dominated the EA task in recent years. Those methods face problems that come from the geometric properties of embedding vectors including hubness and isolation. To solve these geometric problems many normalization approaches have been adopted for EA. However the increasing scale of KGs renders it hard for EA models to adopt the normalization processes thus limiting their usage in real-world applications. To tackle this challenge we present ClusterEA a general framework that is capable of scaling up EA models and enhancing their results by
Privacy-preserving Decentralized Federated Learning over Time-varying Communication Graph,2,Establishing how a set of learners can provide privacy-preserving federated learning in a fully decentralized (peer-to-peer no coordinator) manner is an open problem. We propose the first privacy-preserving consensus-based algorithm for the distributed learners to achieve decentralized global model aggregation in an environment of high mobility where the communication graph between the learners may vary between successive rounds of model aggregation. In particular in each round of global model aggregation the Metropolis-Hastings method is applied to update the weighted adjacency matrix based on the current communication topology. In addition the Shamir's secret sharing scheme is integrated to facilitate privacy in
Model-Driven Engineering for Formal Verification and Security Testing of Authentication Protocols,2,Even if the verification of authentication protocols can be achieved by means of formal analysis the modelling of such an activity is an error-prone task due to the lack of automated and integrated processes. This paper proposes a comprehensive approach based on the Unified Modeling Language (UML) profiling technique and on model-transformation to enable automatic analysis of authentication protocols starting from high-level models. In particular a UML-based approach is able to generate an annotated model of communication protocols from which formal notations (e.g. AnBx Tamarin) can be generated. Such models in lower-level languages can be analysed with existing solvers and/or
Blockchain-based Monitoring for Poison Attack Detection in Decentralized Federated Learning,2,Federated Learning (FL) is a machine learning technique that addresses the privacy challenges in terms of access rights of local datasets by enabling the training of a model across nodes holding their data samples locally. To achieve decentralized federated learning blockchain-based FL was proposed as a distributed FL architecture. In decentralized FL the chief is eliminated from the learning process as workers collaborate between each other to train the global model. Decentralized FL applications need to account for the additional delay incurred by blockchain-based FL deployments. Particularly in this setting to detect targeted/untargeted poisoning attacks we investigate the end-to-end learning
CSS: Combining Self-training and Self-supervised Learning for Few-shot Dialogue State Tracking,3,Few-shot dialogue state tracking (DST) is a realistic problem that trains the DST model with limited labeled data. Existing few-shot methods mainly transfer knowledge learned from external labeled dialogue data (e.g. from question answering dialogue summarization machine reading comprehension tasks etc.) into DST whereas collecting a large amount of external labeled data is laborious and the external data may not effectively contribute to the DST-specific task. In this paper we propose a few-shot DST framework called CSS which Combines Self-training and Self-supervised learning methods. The unlabeled data of the DST task is incorporated into the self-training iterations where the pseudo
SEE-Few: Seed Expand and Entail for Few-shot Named Entity Recognition,3,Few-shot named entity recognition (NER) aims at identifying named entities based on only few labeled instances. Current few-shot NER methods focus on leveraging existing datasets in the rich-resource domains which might fail in a training-from-scratch setting where no source-domain data is used. To tackle training-from-scratch setting it is crucial to make full use of the annotation information (the boundaries and entity types). Therefore in this paper we propose a novel multi-task (Seed Expand and Entail) learning framework SEE-Few for Few-shot NER without using source domain data. The seeding and expanding modules are responsible for providing as accurate candidate spans as
Improving Sharpness-Aware Minimization with Fisher Mask for Better Generalization on Language Models,3,Fine-tuning large pretrained language models on a limited training corpus usually suffers from poor generalization. Prior works show that the recently-proposed sharpness-aware minimization (SAM) optimization method can improve the model generalization. However SAM adds a perturbation to each model parameter equally (but not all parameters contribute equally to the optimization of training) which we argue is sub-optimal and will lead to excessive computation. In this paper we propose a novel optimization procedure namely FSAM which introduces a Fisher mask to improve the efficiency and performance of SAM. In short instead of adding perturbation to all parameters FSAM uses the Fisher
